spot,strike,volatility,rate,expiry,price,bs_price
108.672,82.1827,0.175697,0.0106083,1.68177,28.8686,28.9005
85.1813,98.8634,0.297097,0.0350628,0.799161,5.08329,5.07114
106.091,88.105,0.198416,0.0318685,0.508428,19.8618,19.8696
90.9359,97.2829,0.202096,0.0146031,1.07116,5.60608,5.59372
104.728,105.637,0.203038,0.023647,1.59604,12.0841,12.1034
91.0339,100.892,0.243052,0.0219166,1.5656,8.45095,8.45046
93.779,97.8034,0.152959,0.0246307,0.983688,4.91289,4.91874
111.874,113.479,0.372891,0.0259179,1.9121,24.4028,24.3583
87.8495,99.1363,0.122446,0.0208735,0.199111,0.0298817,0.0297622
110.794,109.312,0.136406,0.0480812,1.99903,15.0913,15.0826
81.9012,104.76,0.451069,0.0252339,1.12341,9.15562,9.11971
92.3637,88.3943,0.348714,0.0109806,0.453709,10.8092,10.8146
115.448,93.8405,0.182434,0.0323144,0.114966,21.9565,21.9561
105.546,95.9127,0.491704,0.0405334,1.25528,29.3029,29.2713
95.3557,105.083,0.468425,0.0328116,0.168008,3.9128,3.91861
109.79,117.207,0.410713,0.0495609,1.12339,18.5439,18.4791
113.368,81.091,0.341153,0.0262886,1.73969,40.5386,40.5002
116.63,81.2069,0.320741,0.0246219,1.32424,40.5662,40.577
95.7604,90.1538,0.268302,0.0156112,0.682181,11.8549,11.853
109.337,93.347,0.206402,0.0302509,1.15472,21.5284,21.5198
107.823,110.055,0.395778,0.0188377,1.94125,24.1577,24.1057
89.0849,115.608,0.417615,0.0306085,1.20855,9.13936,9.10828
89.7959,117.358,0.24068,0.0469005,0.990947,2.30006,2.30177
115.821,98.2771,0.352571,0.0298588,0.862663,26.0139,26.0067
81.8303,103.614,0.457126,0.0308431,0.414981,3.46872,3.46337
85.618,98.5363,0.352504,0.0163665,0.450833,3.86393,3.86654
103.81,89.5594,0.30091,0.0348661,0.860637,21.0889,21.089
115.975,94.984,0.309129,0.0390522,0.190627,22.0789,22.0769
101.064,113.077,0.396642,0.0499413,1.61413,18.9044,18.8402
96.3865,112.024,0.498483,0.0469504,0.656062,10.9511,10.9831
111.72,87.6863,0.359331,0.0172149,0.476214,26.7643,26.738
105.953,102.488,0.231716,0.0169657,1.99608,17.0659,17.0443
94.5289,81.8747,0.492914,0.0467964,1.43751,30.0223,30.0798
81.8413,92.7998,0.4035,0.0313362,0.806476,8.54906,8.53332
86.9555,114.59,0.243084,0.0126622,1.69086,3.69918,3.6901
93.4783,108.635,0.299303,0.0203069,1.34209,8.44869,8.43416
108.206,101.885,0.129824,0.0322847,0.463644,8.84917,8.84725
107.714,87.9774,0.377831,0.0112823,0.474511,23.2571,23.2378
90.445,87.2809,0.325527,0.0380836,1.81731,19.8676,19.8433
93.0344,99.1707,0.396477,0.0376123,0.68849,10.6969,10.6717
106.026,92.8185,0.208042,0.0171009,1.27324,18.7047,18.7167
98.8641,106.202,0.301365,0.0215663,1.42444,12.4383,12.4337
96.0372,97.1199,0.26251,0.0297862,1.77051,15.055,15.0885
86.4974,111.968,0.474367,0.0347739,0.892016,8.41512,8.38727
100.632,107.175,0.457322,0.0222286,1.88699,24.0163,24.019
102.916,104.32,0.171401,0.0254941,0.380487,4.15449,4.15193
81.6002,113.891,0.210183,0.0204333,0.619481,0.161365,0.157816
105.15,101.596,0.153844,0.0429125,0.465631,7.62313,7.62903
108.525,105.489,0.142393,0.0175031,0.397244,5.99626,5.99207
105.18,104.784,0.489222,0.0167239,1.9298,29.3796,29.3813
97.3407,105.577,0.404677,0.0474459,0.937226,13.6794,13.6445
87.0258,119.922,0.246656,0.0114294,0.534566,0.299902,0.300527
102.225,80.937,0.482976,0.0492747,0.694683,29.4056,29.4045
87.2138,102.071,0.30154,0.0213209,1.57138,8.93224,8.91905
98.2207,119.394,0.19928,0.0395125,1.35426,4.05832,4.03601
107.46,83.565,0.496558,0.0462952,1.07558,35.8862,36.0357
105.766,101.134,0.296447,0.0235788,0.508291,11.8725,11.8833
92.1639,106.186,0.374996,0.0376726,0.140616,1.22181,1.22281
116.456,92.4777,0.227677,0.0149917,1.7998,29.884,29.8974
90.2116,82.0589,0.152372,0.0456442,0.159174,8.85043,8.84736
89.2281,111.064,0.263655,0.0192303,0.595012,1.60917,1.60859
119.27,92.0206,0.482726,0.041309,1.51662,43.8078,43.7644
84.3376,95.2484,0.470703,0.0241419,1.40079,15.694,15.716
94.7924,93.8314,0.461486,0.0342936,1.38804,22.4766,22.5103
119.278,119.516,0.445393,0.0161623,1.78172,29.0933,29.1143
108.117,88.3582,0.450526,0.0108755,1.59911,34.1452,34.0477
102.247,97.8624,0.331359,0.0458849,0.198294,8.87969,8.86592
114.208,81.5991,0.33465,0.0290652,1.45572,39.5501,39.521
115.917,116.851,0.344124,0.0186616,0.850334,14.9839,15.0134
96.2257,83.2481,0.181605,0.0307259,0.747247,15.8843,15.878
90.8196,106.553,0.415119,0.0351867,1.46957,14.2731,14.3185
86.3477,107.134,0.100215,0.0261122,1.69843,0.543512,0.54445
99.3777,92.4183,0.258485,0.032335,1.90317,20.2865,20.3282
97.3992,111.577,0.275451,0.0233588,0.241801,1.26042,1.25954
82.3534,112.218,0.362819,0.0419693,0.103922,0.0162445,0.0159746
103.231,105.688,0.117555,0.0298017,1.23863,6.0597,6.0629
107.94,103.073,0.3446,0.0423063,1.29046,21.5831,21.6368
113.29,95.862,0.380699,0.0425878,0.608238,24.637,24.5975
118.088,110.137,0.262968,0.032125,1.98873,24.6554,24.6998
84.2243,80.9971,0.153766,0.0300712,1.53656,10.1784,10.1773
91.766,94.9908,0.472909,0.037069,1.32739,20.2928,20.2342
106.924,95.2643,0.185059,0.0464763,0.839453,16.9341,16.9525
80.1184,93.1799,0.307643,0.0435344,0.400268,2.42617,2.43075
103.144,116.58,0.493932,0.0411424,1.21963,19.2967,19.3325
115.379,92.3938,0.158964,0.0122869,0.427759,23.5216,23.524
93.4693,101.467,0.168867,0.0453807,1.99629,9.23658,9.23899
87.9808,102.879,0.117706,0.0156887,1.72133,1.63616,1.62559
95.1751,92.7967,0.312739,0.0497954,1.64666,19.722,19.7109
105.803,88.443,0.400558,0.0266196,0.514804,22.6135,22.681
92.6339,113.627,0.343918,0.0165788,1.32108,8.37382,8.34188
102.006,80.2902,0.324571,0.0497061,1.10995,29.2171,29.2402
89.9827,112.529,0.491218,0.0316292,1.56959,16.2495,16.1788
93.4674,105.174,0.149965,0.0240114,0.287444,0.303229,0.303012
81.3907,105.987,0.47842,0.0351074,0.996063,8.82361,8.76815
98.0257,83.5164,0.202452,0.0124264,0.262732,15.0061,15.0123
105.498,92.302,0.385509,0.0347707,1.88548,30.8572,30.9235
116.882,90.5974,0.158776,0.0118082,0.478647,26.8318,26.8283
95.3602,119.972,0.119866,0.0441414,1.82052,1.60006,1.59721
118.47,82.4802,0.356713,0.015156,0.10496,36.1034,36.1232
84.9203,104.993,0.386282,0.0221886,1.02465,7.29133,7.32549
109.942,111.509,0.225589,0.0323047,0.583455,7.80412,7.7911
94.5932,105.766,0.251351,0.0157364,1.23431,7.05537,7.03293
101.396,83.7897,0.251575,0.0130059,1.90528,24.774,24.7712
106.92,97.0921,0.28337,0.048645,1.02544,20.0879,20.0774
103.345,94.6907,0.30942,0.0136439,1.09116,18.2061,18.2707
95.1858,89.1288,0.397021,0.0272885,1.06948,19.5127,19.4791
94.4713,119.907,0.352558,0.0244895,1.01993,6.2285,6.26441
